"country","phase","t0_year_mean","years_since_t0_2026","dpdt_mean","d2pdt2_mean","accel_status_2026"
"Burkina Faso","Scale-up",2031,-5.19153173378254,0.0163168085494439,0.000248222246427463,"Accelerating"
"Niger","Scale-up",2034,-7.58058656876779,0.0108050477421606,0.000237273348212569,"Accelerating"
"Gambia","Scale-up",2034,-8.04047087192771,0.00819038078706796,0.000189142902387083,"Accelerating"
"Sierra Leone","Scale-up",2030,-3.63742505099526,0.0153799682683273,0.000168478464399974,"Accelerating"
"Cambodia","Scale-up",2034,-7.85811747619664,0.0117733150639118,0.000125368697695211,"Accelerating"
"Tajikistan","Build / monitor",2023,3.14601764907275,0.00206682542795629,-7.58461179744847e-07,"Near peak / uncertain"
"Armenia","Build / monitor",2026,0.250465936335786,0.00187590778246137,1.88352714627663e-07,"Near peak / uncertain"
"Rwanda","Scale-up",2014,11.7156361190866,0.0103743082936092,-0.000959378338803797,"Decelerating"
"Ethiopia","Scale-up",2014,11.8917952615211,0.0082658199036239,-0.000771676705541964,"Decelerating"
"Malawi","Build / monitor",2006,19.9097193543789,0.00442258593204547,-0.000538148755802314,"Decelerating"
"Lesotho","Build / monitor",2005,20.8574868472383,0.00408682288066791,-0.000505055171069048,"Decelerating"
"Madagascar","Build / monitor",2007,18.870113737617,0.00351495683241048,-0.000419254193485017,"Decelerating"
"Congo","Build / monitor",2008,18.2198029830467,0.00253537243697577,-0.00039101456115847,"Decelerating"
"Nicaragua","Scale-up",2002,24.3678488879987,0.00822500356002933,-0.000312744316100518,"Decelerating"
"Brazil","Build / monitor",1995,31.08750697199,0.00659162915488568,-0.000296591469527331,"Decelerating"
"Zambia","Build / monitor",2003,23.0367392709222,0.00209982045807019,-0.000267232082129011,"Decelerating"
"Colombia","Build / monitor",1996,29.9147332217806,0.00586869731558686,-0.000258370182223567,"Decelerating"
"Burundi","Build / monitor",2008,17.9560837934275,0.00193991888047529,-0.000225573844231505,"Decelerating"
"Honduras","Build / monitor",1998,27.7884026185491,0.0050658341160201,-0.000210520754309175,"Decelerating"
"Liberia","Scale-up",2012,14.3367173316024,0.00547884330499082,-0.000208392685151141,"Decelerating"
"Uganda","Build / monitor",2003,23.3412734302299,0.00153421670403831,-0.00019588700036444,"Decelerating"
"Dominican Republic","Build / monitor",1990,35.926532839959,0.00384035095671925,-0.000186992434263516,"Decelerating"
"Togo","Scale-up",2017,9.30830628124659,0.00672221149047447,-0.000170281938714352,"Decelerating"
"Guatemala","Build / monitor",2002,24.0604582865892,0.0043511372019919,-0.000165593329098497,"Decelerating"
"Ghana","Build / monitor",2006,20.0995195976843,0.00329341785114794,-0.000163832189155368,"Decelerating"
"Cote d'Ivoire","Build / monitor",2010,16.0581408688286,0.00361653990256557,-0.000151850693342403,"Decelerating"
"Peru","Build / monitor",1994,32.064539180511,0.00320064567821097,-0.000146715039185688,"Decelerating"
"Namibia","Build / monitor",1995,31.2458615625512,0.000976150618112324,-0.000131414804876183,"Decelerating"
"Haiti","Build / monitor",2007,19.1915838498644,0.00401169585761529,-0.00012792044203468,"Decelerating"
"Senegal","Scale-up",2019,7.31041422008661,0.00606253996243052,-0.000126863122613956,"Decelerating"
"Tanzania","Build / monitor",2000,26.428341284035,0.000964311874629547,-0.000126588879152861,"Decelerating"
"Kenya","Build / monitor",1996,30.4862692729657,0.000819203128783491,-0.000109966675862229,"Decelerating"
"Mozambique","Build / monitor",2000,26.3744501624578,0.000790676669639767,-0.000103739394389668,"Decelerating"
"Benin","Build / monitor",2015,10.8628641130863,0.00347630679931969,-0.000103349852286531,"Decelerating"
"Guinea","Build / monitor",2014,12.4751764717464,0.00285051550504473,-9.48724128555409e-05,"Decelerating"
"Pakistan","Build / monitor",1997,29.4645341749715,0.000720420679637235,-9.02748418321444e-05,"Decelerating"
"Angola","Build / monitor",2002,24.3915812762166,0.000705334349007741,-8.96710191226701e-05,"Decelerating"
"Bolivia","Scale-up",2023,3.25254247824205,0.0134804115957268,-7.89812966588653e-05,"Decelerating"
"Chad","Build / monitor",2008,17.8584209150363,0.000502722827876659,-7.69244739775104e-05,"Decelerating"
"Vietnam","Build / monitor",1969,57.2374043576162,0.00162035313455141,-7.6556101080204e-05,"Decelerating"
"Yemen","Maintain / equity",1999,26.9929661448105,0.000417621242032721,-7.35792461405774e-05,"Decelerating"
"Philippines","Build / monitor",1991,35.0364421777324,0.00188951008184603,-7.16729655573506e-05,"Decelerating"
"Bangladesh","Build / monitor",1989,37.1061597465582,0.000517554340797336,-6.66338578245708e-05,"Decelerating"
"Nigeria","Build / monitor",1999,27.2179391384043,0.00108830490070893,-6.51939416062385e-05,"Decelerating"
"Mali","Scale-up",2023,3.2426642923358,0.0067373350007403,-6.29739715418776e-05,"Decelerating"
"Congo Democratic Republic","Maintain / equity",2004,22.2985827869829,0.00037851714538018,-6.12424472663813e-05,"Decelerating"
"Timor-Leste","Build / monitor",2004,21.5832900948894,0.00234488928653898,-5.42376437284985e-05,"Decelerating"
"Indonesia","Build / monitor",1966,59.9677966031913,0.00111295328714137,-5.34827272345321e-05,"Decelerating"
"Cameroon","Maintain / equity",1998,28.3171582825371,0.000241297918279754,-4.02364933889683e-05,"Decelerating"
"Zimbabwe","Maintain / equity",1987,39.2043158398633,0.000269649719546711,-3.69535208624434e-05,"Decelerating"
"Nepal","Maintain / equity",1985,40.6042302322917,0.000221254846560973,-2.86469285284607e-05,"Decelerating"
"Turkey","Build / monitor",1967,59.2157008533702,0.00189706885588927,-2.01603901469229e-05,"Decelerating"
"Kazakhstan","Build / monitor",1992,34.4771584054038,0.00314148966809888,-1.78415023801406e-05,"Decelerating"
"Kyrgyz Republic","Build / monitor",1967,58.8080751951509,0.00138995252461539,-1.46854746704128e-05,"Decelerating"
"Egypt","Maintain / equity",1986,39.9412612089779,7.58506499853249e-05,-1.35590748711826e-05,"Decelerating"
"India","Maintain / equity",1978,47.5391697404004,0.000103981212784111,-1.35441945130664e-05,"Decelerating"
"Comoros","Maintain / equity",1986,40.0517361539066,6.26483904470857e-05,-8.5700044033787e-06,"Decelerating"
"Jordan","Maintain / equity",1985,41.0669296090259,4.41834050150464e-05,-7.90044197620716e-06,"Decelerating"
"South Africa","Maintain / equity",1968,57.9442674232625,2.31001791997062e-05,-3.19169211441045e-06,"Decelerating"
"Albania","Build / monitor",1969,56.6257377803624,0.00025607414966808,-2.61235504828514e-06,"Decelerating"
"Morocco","Maintain / equity",1978,47.7981423974518,9.6419451694786e-06,-1.72560578473332e-06,"Decelerating"
"Maldives","Maintain / equity",1968,57.5869424077327,1.2953506847674e-05,-1.69195668310171e-06,"Decelerating"
"Gabon","Maintain / equity",1972,53.9383274115453,5.31086156414032e-06,-8.99747599039026e-07,"Decelerating"
